Mar 31 18:21:40 raspberrypi seqgen2x: #012BEGIN LOG
Mar 31 18:21:40 raspberrypi seqgen2x: Frame Sampler thread @ sec=0, msec=129
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.517792
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.514719
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.504563
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701184
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.051673
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.208560
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.188143
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.204029
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.163297
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S7 = 1.752337
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S3 = 1.888803
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S5 = 1.861614
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.051934
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.051361
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.581810
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.579726
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.581653
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.596706
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201786
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201785
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.571237
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.574883
